noise_type,severity,noise_level,preproc,preproc_detail,fuzzy_acc,snn_acc
gaussian,0.0,0.05,none,,0.8662,0.9665
gaussian,0.0,0.05,auto,gaussian_blur,0.8573,0.9624
gaussian,0.25,0.1625,none,,0.1196,0.2178
gaussian,0.25,0.1625,auto,gaussian_blur,0.1179,0.2037
gaussian,0.5,0.275,none,,0.1048,0.1541
gaussian,0.5,0.275,auto,gaussian_blur,0.1068,0.1525
gaussian,0.75,0.3875,none,,0.1035,0.1312
gaussian,0.75,0.3875,auto,gaussian_blur,0.1029,0.1312
gaussian,1.0,0.5,none,,0.0997,0.1266
gaussian,1.0,0.5,auto,gaussian_blur,0.1039,0.1241
saltpepper,0.0,0.05,none,,0.8662,0.9665
saltpepper,0.0,0.05,auto,median,0.8678,0.9654
saltpepper,0.25,0.1625,none,,0.1069,0.1795
saltpepper,0.25,0.1625,auto,median,0.4,0.6695
saltpepper,0.5,0.275,none,,0.1053,0.1355
saltpepper,0.5,0.275,auto,median,0.1474,0.3378
saltpepper,0.75,0.3875,none,,0.1033,0.1202
saltpepper,0.75,0.3875,auto,median,0.11,0.1883
saltpepper,1.0,0.5,none,,0.1038,0.1138
saltpepper,1.0,0.5,auto,median,0.1056,0.1421
dropout,0.0,0.05,none,,0.8662,0.9665
dropout,0.0,0.05,auto,nlmeans,0.1474,0.2693
dropout,0.25,0.1625,none,,0.8598,0.9587
dropout,0.25,0.1625,auto,nlmeans,0.1471,0.2535
dropout,0.5,0.275,none,,0.8437,0.9471
dropout,0.5,0.275,auto,nlmeans,0.1428,0.2433
dropout,0.75,0.3875,none,,0.8029,0.932
dropout,0.75,0.3875,auto,nlmeans,0.1357,0.2293
dropout,1.0,0.5,none,,0.739,0.8931
dropout,1.0,0.5,auto,nlmeans,0.1188,0.2128
speckle,0.0,0.05,none,,0.8662,0.9665
speckle,0.0,0.05,auto,tv,0.6847,0.946
speckle,0.25,0.1625,none,,0.87,0.967
speckle,0.25,0.1625,auto,tv,0.7086,0.946
speckle,0.5,0.275,none,,0.8711,0.9664
speckle,0.5,0.275,auto,tv,0.7108,0.9463
speckle,0.75,0.3875,none,,0.8693,0.9644
speckle,0.75,0.3875,auto,tv,0.7169,0.9439
speckle,1.0,0.5,none,,0.8644,0.9623
speckle,1.0,0.5,auto,tv,0.7077,0.9383
poisson,0.0,0.0,none,,0.8662,0.9665
poisson,0.0,0.0,auto,wavelet,0.8613,0.9643
poisson,0.25,0.0,none,,0.8679,0.966
poisson,0.25,0.0,auto,wavelet,0.8648,0.9656
poisson,0.5,0.0,none,,0.8663,0.9661
poisson,0.5,0.0,auto,wavelet,0.8643,0.9648
poisson,0.75,0.0,none,,0.8672,0.9664
poisson,0.75,0.0,auto,wavelet,0.8641,0.9654
poisson,1.0,0.0,none,,0.8668,0.9657
poisson,1.0,0.0,auto,wavelet,0.8644,0.9652
uniform,0.0,0.05,none,,0.8662,0.9665
uniform,0.0,0.05,auto,gaussian_blur,0.8573,0.9624
uniform,0.25,0.1625,none,,0.1374,0.3055
uniform,0.25,0.1625,auto,gaussian_blur,0.1423,0.2802
uniform,0.5,0.275,none,,0.1167,0.2026
uniform,0.5,0.275,auto,gaussian_blur,0.1157,0.1937
uniform,0.75,0.3875,none,,0.108,0.1724
uniform,0.75,0.3875,auto,gaussian_blur,0.1071,0.1627
uniform,1.0,0.5,none,,0.1043,0.1481
uniform,1.0,0.5,auto,gaussian_blur,0.1054,0.1425
shot,0.0,0.5,none,,0.8662,0.9665
shot,0.0,0.5,auto,wavelet,0.8613,0.9643
shot,0.25,1.625,none,,0.8669,0.9664
shot,0.25,1.625,auto,wavelet,0.864,0.9649
shot,0.5,2.75,none,,0.8666,0.9665
shot,0.5,2.75,auto,wavelet,0.8642,0.9655
shot,0.75,3.875,none,,0.8678,0.9666
shot,0.75,3.875,auto,wavelet,0.8618,0.9643
shot,1.0,5.0,none,,0.8694,0.9669
shot,1.0,5.0,auto,wavelet,0.8636,0.9637
anisotropic,0.0,0.1,none,,0.8662,0.9665
anisotropic,0.0,0.1,auto,gaussian_blur,0.8573,0.9624
anisotropic,0.25,0.2,none,,0.1412,0.3049
anisotropic,0.25,0.2,auto,gaussian_blur,0.1424,0.28
anisotropic,0.5,0.30000000000000004,none,,0.1171,0.2255
anisotropic,0.5,0.30000000000000004,auto,gaussian_blur,0.1211,0.2074
anisotropic,0.75,0.4,none,,0.1103,0.1874
anisotropic,0.75,0.4,auto,gaussian_blur,0.1101,0.1746
anisotropic,1.0,0.5,none,,0.1076,0.1655
anisotropic,1.0,0.5,auto,gaussian_blur,0.1083,0.1591
