noise_type,noise_level,preproc,fuzzy_acc,snn_acc
gaussian,0.0,none,0.6225,0.9641
gaussian,0.0,median(r=1),0.635,0.963
gaussian,0.1,none,0.1421,0.3324
gaussian,0.1,median(r=1),0.1868,0.4488
gaussian,0.3,none,0.1056,0.1539
gaussian,0.3,median(r=1),0.1138,0.2016
gaussian,0.5,none,0.1045,0.1249
gaussian,0.5,median(r=1),0.1074,0.1487
saltpepper,0.0,none,0.6225,0.9641
saltpepper,0.0,median(r=1),0.635,0.963
saltpepper,0.1,none,0.1251,0.2438
saltpepper,0.1,median(r=1),0.4963,0.8452
saltpepper,0.3,none,0.0985,0.1311
saltpepper,0.3,median(r=1),0.1349,0.3003
saltpepper,0.5,none,0.103,0.1172
saltpepper,0.5,median(r=1),0.101,0.1405
dropout,0.0,none,0.6225,0.9641
dropout,0.0,median(r=1),0.635,0.963
dropout,0.1,none,0.6361,0.9598
dropout,0.1,median(r=1),0.6331,0.9539
dropout,0.3,none,0.6283,0.9439
dropout,0.3,median(r=1),0.5615,0.8847
dropout,0.5,none,0.5489,0.8967
dropout,0.5,median(r=1),0.3879,0.6472
speckle,0.0,none,0.6225,0.9641
speckle,0.0,median(r=1),0.635,0.963
speckle,0.1,none,0.6296,0.9644
speckle,0.1,median(r=1),0.6421,0.963
speckle,0.3,none,0.6441,0.9622
speckle,0.3,median(r=1),0.6586,0.9593
speckle,0.5,none,0.6548,0.9586
speckle,0.5,median(r=1),0.6534,0.9492
poisson,0.0,none,0.6225,0.9641
poisson,0.0,median(r=1),0.635,0.963
poisson,0.1,none,0.628,0.9636
poisson,0.1,median(r=1),0.6423,0.9636
poisson,0.3,none,0.6266,0.963
poisson,0.3,median(r=1),0.6394,0.9626
poisson,0.5,none,0.628,0.9644
poisson,0.5,median(r=1),0.6424,0.9636
uniform,0.0,none,0.6225,0.9641
uniform,0.0,median(r=1),0.635,0.963
uniform,0.1,none,0.1938,0.4488
uniform,0.1,median(r=1),0.2304,0.5497
uniform,0.3,none,0.1132,0.2153
uniform,0.3,median(r=1),0.1238,0.2648
uniform,0.5,none,0.1029,0.1537
uniform,0.5,median(r=1),0.1084,0.1814
motionblur,0.0,none,0.6225,0.9641
motionblur,0.0,median(r=1),0.635,0.963
motionblur,0.1,none,0.6694,0.9588
motionblur,0.1,median(r=1),0.6818,0.9578
motionblur,0.3,none,0.6694,0.9588
motionblur,0.3,median(r=1),0.6818,0.9578
motionblur,0.5,none,0.6694,0.9588
motionblur,0.5,median(r=1),0.6818,0.9578
jpeg,0.0,none,0.6225,0.9641
jpeg,0.0,median(r=1),0.635,0.963
jpeg,0.1,none,0.2468,0.6121
jpeg,0.1,median(r=1),0.2571,0.6292
jpeg,0.3,none,0.2468,0.6121
jpeg,0.3,median(r=1),0.2571,0.6292
jpeg,0.5,none,0.2468,0.6121
jpeg,0.5,median(r=1),0.2571,0.6292
shot,0.0,none,0.6225,0.9641
shot,0.0,median(r=1),0.635,0.963
shot,0.1,none,0.6233,0.9639
shot,0.1,median(r=1),0.6366,0.9629
shot,0.3,none,0.6245,0.9641
shot,0.3,median(r=1),0.6383,0.9628
shot,0.5,none,0.6268,0.9642
shot,0.5,median(r=1),0.6406,0.9629
quantization,0.0,none,0.6225,0.9641
quantization,0.0,median(r=1),0.635,0.963
quantization,0.1,none,0.5904,0.9612
quantization,0.1,median(r=1),0.5922,0.9569
quantization,0.3,none,0.5904,0.9612
quantization,0.3,median(r=1),0.5922,0.9569
quantization,0.5,none,0.5904,0.9612
quantization,0.5,median(r=1),0.5922,0.9569
anisotropic,0.0,none,0.6225,0.9641
anisotropic,0.0,median(r=1),0.635,0.963
anisotropic,0.1,none,0.2201,0.5142
anisotropic,0.1,median(r=1),0.2818,0.663
anisotropic,0.3,none,0.1152,0.2372
anisotropic,0.3,median(r=1),0.1486,0.3259
anisotropic,0.5,none,0.1092,0.1635
anisotropic,0.5,median(r=1),0.1209,0.2184
